emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
Environmental consultant,1,IL,RENT,137911,Source Verified,44.79,,Verified,18.83,0,38.0,1986,6,38,23,237135,74402,0,1,,1,3423,3,14,0,11,0,0,9,17449,20,8,1,4,93.2,0,0,small_business,joint,14867,60,23.08,646.39,A,A2,Apr-2025,Current,whole,Cash,7417.08,179.94,107.5,1061.59,463.1
Technical brewer,1,NJ,OWN,44710,Verified,37.32,,Verified,,0,44.0,1991,2,7,20,146039,85289,0,2,10.0,2,3696,6,10,13,17,1,0,8,22022,20,13,3,4,66.2,0,0,other,joint,45178,60,5.88,765.73,B,E2,Jun-2025,Fully Paid,fractional,DirectPay,16199.86,29665.28,8688.59,1731.16,459.12
"Geneticist, molecular",6,TX,MORTGAGE,168674,Not Verified,6.44,244886.0,Not Verified,,0,,1998,7,8,23,228512,196861,1,3,,2,2675,4,12,7,9,1,2,8,45361,16,7,8,2,71.3,0,0,moving,joint,11256,36,5.74,201.0,B,C2,Oct-2024,Late (16-30 days),fractional,DirectPay,776.75,10589.47,4564.72,921.67,405.44
Ranger/warden,5,NJ,OWN,70095,Not Verified,32.74,,Source Verified,,0,23.0,2005,3,24,3,29991,11775,2,3,,1,4082,6,3,14,9,0,0,4,14265,23,10,1,4,60.0,0,0,debt_consolidation,joint,16270,36,11.31,1162.14,C,C1,Dec-2023,Current,fractional,Cash,11594.35,13289.0,2363.89,1207.04,450.97
Operational researcher,8,OH,OWN,151479,Verified,26.7,,Source Verified,,0,17.0,2009,8,40,17,290519,16088,0,1,,2,3494,2,5,0,15,0,1,7,46602,7,13,8,0,74.5,0,0,other,joint,29127,36,19.49,693.5,B,E1,Dec-2025,Current,fractional,DirectPay,898.8,1511.55,3312.8,1243.1,332.57
"Engineer, broadcasting (operations)",1,IL,RENT,157610,Verified,34.08,,Not Verified,,0,,2013,3,23,6,272318,93268,0,0,,0,2386,4,0,4,16,1,0,1,36998,16,14,2,2,60.5,0,0,home_improvement,joint,38176,60,18.32,1363.43,D,A2,Oct-2024,Current,whole,Cash,15138.83,5028.35,26426.82,1200.81,154.89
Medical secretary,0,NY,MORTGAGE,52798,Source Verified,31.91,,Verified,30.64,1,,1989,3,37,18,227060,128815,0,2,,1,1473,5,14,6,4,0,0,8,45526,20,6,6,2,72.3,0,1,small_business,individual,28113,36,21.56,2008.07,A,D2,Dec-2024,Late (31-120 days),whole,Cash,22076.26,16898.8,22273.63,1828.77,470.64
Teaching laboratory technician,2,IL,OWN,119776,Not Verified,25.75,222239.0,Source Verified,15.06,0,,2006,8,30,11,196384,142633,2,2,,0,1518,5,3,8,12,0,2,5,18901,15,2,4,1,84.2,0,0,vacation,joint,27991,60,6.28,717.72,D,B2,Aug-2023,Current,fractional,Cash,19699.85,10447.92,12621.92,2523.03,336.03
Health and safety adviser,0,OH,RENT,79330,Source Verified,42.87,156121.0,Source Verified,30.4,0,,2016,8,36,6,196633,63260,1,0,,1,369,2,5,17,3,1,2,6,17438,21,9,3,4,70.1,0,0,home_improvement,individual,20689,60,21.46,350.66,D,C2,Aug-2025,Current,fractional,Cash,10607.8,9069.75,16489.34,948.27,273.44
Local government officer,9,NJ,OWN,116176,Not Verified,13.16,136346.0,Source Verified,7.84,0,,1994,8,22,6,282422,222552,2,2,48.0,2,2366,4,7,13,3,1,1,7,45764,1,7,7,2,74.2,0,0,other,individual,12409,60,18.32,213.95,E,D2,Mar-2024,Current,fractional,DirectPay,6470.66,849.5,3684.11,2285.16,292.22
Applications developer,6,AZ,OWN,33024,Not Verified,19.74,,Not Verified,22.19,0,,2012,1,19,1,153927,86178,2,2,,1,2981,1,8,0,6,1,0,6,37585,16,13,4,0,68.0,0,0,moving,individual,18678,36,10.11,366.24,E,D1,May-2025,Current,whole,DirectPay,3467.51,12406.29,13174.57,3041.25,342.57
"Scientist, marine",4,CA,MORTGAGE,107722,Source Verified,41.98,181208.0,Not Verified,,0,36.0,2006,4,45,22,162297,135678,0,1,,2,2512,3,6,15,3,1,0,4,34828,22,9,4,4,97.6,0,0,small_business,joint,14356,36,5.15,410.17,D,A1,Feb-2024,Fully Paid,whole,DirectPay,10364.02,5524.24,5620.39,1233.49,370.31
Educational psychologist,2,TX,MORTGAGE,148364,Verified,16.87,,Source Verified,31.23,0,,1992,1,47,9,260144,65925,2,0,,1,3552,2,2,9,8,0,1,3,43680,1,13,1,1,62.3,0,0,other,individual,43605,36,20.0,1744.2,D,B1,Oct-2024,Current,whole,DirectPay,17963.43,37959.33,22026.42,4643.97,57.7
Corporate investment banker,8,NJ,MORTGAGE,95463,Source Verified,10.71,92056.0,Source Verified,,0,,2006,8,20,9,255017,72696,2,3,79.0,2,3816,6,13,18,19,1,0,7,17810,13,3,4,0,68.9,0,0,small_business,individual,29964,60,11.41,599.28,E,D1,May-2023,Current,fractional,DirectPay,24077.2,27020.76,4877.49,401.36,438.68
Chartered certified accountant,3,AZ,RENT,27763,Source Verified,43.72,72010.0,Verified,30.3,0,,2015,9,47,11,166379,12064,1,0,,0,670,3,1,23,15,1,0,2,13312,4,8,8,1,74.9,0,1,medical,joint,29374,36,15.29,2259.54,A,D1,May-2025,Late (31-120 days),whole,Cash,16097.9,15306.0,8229.49,3980.02,379.25
Tourist information centre manager,10,IL,RENT,88972,Source Verified,20.46,82821.0,Not Verified,,0,,1986,3,34,12,45931,36710,1,3,,2,3278,7,0,1,18,1,2,1,36693,23,2,0,0,72.3,0,0,debt_consolidation,individual,26255,60,18.55,972.41,A,C1,Jan-2024,Current,fractional,DirectPay,6932.95,24655.24,13366.41,1704.01,134.76
Recycling officer,4,OH,RENT,62019,Verified,13.75,,Source Verified,33.85,0,,1990,4,29,24,168598,129585,1,2,,2,4550,7,12,5,18,1,2,4,35998,1,6,5,2,78.6,0,0,small_business,individual,46948,36,18.2,1091.81,B,A2,Jul-2025,Current,fractional,Cash,46896.01,15335.06,28100.59,7574.26,429.01
Barrister's clerk,6,IL,OWN,62228,Verified,6.61,146462.0,Verified,,0,,1987,4,20,5,262156,216820,0,4,,1,4434,0,3,18,11,1,1,4,37618,11,9,3,2,84.9,0,0,other,joint,25386,60,9.59,1153.91,C,A1,Sep-2025,Current,fractional,DirectPay,22045.48,9624.53,7544.43,3140.39,316.54
Geographical information systems officer,5,AZ,RENT,135130,Verified,30.98,,Not Verified,27.26,0,,1985,4,19,8,62691,25229,1,1,,2,4188,5,13,17,18,1,0,2,16232,23,11,7,3,99.0,0,0,moving,joint,24164,60,23.64,635.89,C,D2,Mar-2024,Current,fractional,Cash,23219.67,12950.34,9443.21,1942.24,76.85
"Engineer, production",8,OH,MORTGAGE,175245,Verified,28.71,,Verified,6.05,0,16.0,2001,6,35,23,294583,15995,0,4,,1,3856,7,9,18,14,0,1,8,25559,18,7,9,1,89.5,0,0,small_business,joint,25989,60,16.08,702.41,C,A1,Jan-2026,Current,fractional,DirectPay,12343.5,1435.18,19593.28,388.91,219.23
Corporate treasurer,9,CA,OWN,175611,Source Verified,11.64,61349.0,Source Verified,10.14,0,,2008,7,27,22,231767,186639,1,2,,1,2143,5,4,5,10,1,1,8,39099,24,3,6,0,72.1,0,0,debt_consolidation,joint,38738,60,23.72,1139.35,B,E2,Jun-2025,Current,fractional,Cash,17112.38,38127.28,12263.15,5540.98,140.96
"Accountant, chartered certified",2,FL,OWN,155956,Not Verified,31.69,,Source Verified,9.1,0,,2002,9,20,23,83616,10486,2,3,,2,2877,7,12,12,17,0,0,7,40862,6,3,8,3,79.7,0,0,home_improvement,individual,7208,36,15.91,144.16,C,D2,Jul-2024,Current,whole,DirectPay,3529.21,4647.32,1325.27,796.72,186.09
Intelligence analyst,10,NY,RENT,28262,Not Verified,11.61,,Not Verified,,1,,1989,6,29,9,64722,24963,2,4,,1,3558,6,5,3,13,0,2,6,31932,10,2,0,3,91.9,0,0,small_business,individual,3445,36,21.24,76.56,B,E1,May-2023,Late (16-30 days),fractional,DirectPay,1297.15,799.43,731.36,381.94,99.75
Radio broadcast assistant,1,NY,MORTGAGE,41279,Not Verified,42.94,,Not Verified,31.7,0,,2001,1,44,19,101911,99618,2,0,,1,3435,6,4,22,1,0,0,7,13737,22,1,2,2,97.4,0,0,moving,individual,5129,60,9.5,106.85,A,B1,Jun-2025,Current,whole,DirectPay,2303.12,1218.03,203.58,743.29,55.8
Rural practice surveyor,2,AZ,MORTGAGE,43074,Verified,29.43,120453.0,Not Verified,,0,21.0,1995,4,28,17,62265,17061,0,2,,1,1086,7,2,6,17,1,2,7,30810,24,6,1,4,62.6,0,0,debt_consolidation,joint,17549,36,18.22,324.98,D,C2,Feb-2026,Current,fractional,DirectPay,15528.32,12969.89,3895.38,988.42,481.68
Chartered certified accountant,7,PA,RENT,156379,Source Verified,18.88,53358.0,Verified,,0,,2009,7,38,3,212834,26954,1,1,,0,1305,3,7,9,19,0,0,8,26423,3,10,0,2,66.6,0,0,other,individual,5359,60,15.32,137.41,E,B2,Jun-2024,Current,whole,DirectPay,1138.5,3555.82,1762.89,431.3,442.29
Forensic psychologist,9,NJ,OWN,102963,Not Verified,16.95,115785.0,Verified,25.86,0,,2009,0,25,24,16511,1128,0,1,,0,2117,0,10,15,12,0,2,9,44229,4,11,1,4,64.7,0,0,home_improvement,individual,48550,36,10.61,3734.62,C,D2,Oct-2023,Current,whole,Cash,39858.63,27508.69,25519.06,8723.33,199.76
Set designer,5,FL,OWN,78592,Verified,38.06,157227.0,Not Verified,,0,51.0,2015,7,25,24,253767,21922,2,1,76.0,2,1587,0,11,0,8,0,2,6,36028,1,1,8,1,91.6,0,0,other,joint,9347,60,5.21,233.68,E,B1,Oct-2023,Current,fractional,Cash,3357.52,7697.74,6136.84,892.36,175.41
Medical sales representative,5,IL,OWN,72111,Not Verified,18.13,,Not Verified,19.73,0,27.0,2010,5,9,20,138652,79672,1,2,,1,1411,0,8,13,14,0,2,6,2589,12,7,2,2,97.3,0,0,debt_consolidation,joint,41613,36,20.31,904.63,D,D2,Jan-2026,Current,whole,DirectPay,1832.65,28851.76,21580.03,1926.52,340.68
Lobbyist,3,TX,OWN,136023,Not Verified,29.47,,Source Verified,,0,,1992,4,28,15,202656,127278,2,0,,2,1580,1,7,6,12,0,2,2,49466,10,13,8,2,61.2,0,0,moving,individual,12283,60,20.48,1023.58,C,B2,Dec-2025,Fully Paid,whole,DirectPay,1122.35,3867.01,423.05,1918.52,199.11
Geophysicist/field seismologist,2,TX,OWN,62034,Verified,38.32,,Source Verified,39.24,1,,1988,7,21,9,67221,2657,2,4,,1,2501,2,5,0,16,0,2,4,34764,13,11,9,2,73.0,0,0,debt_consolidation,individual,42317,60,7.78,1057.92,B,B1,Oct-2025,Late (16-30 days),whole,Cash,42216.4,8088.14,15560.83,3647.59,152.25
Sports therapist,9,AZ,RENT,157886,Source Verified,13.91,,Verified,34.06,0,,1991,9,21,2,204840,36739,0,1,,1,3066,2,0,18,18,0,0,8,36785,16,6,8,3,66.4,0,0,medical,joint,15001,36,16.83,254.25,E,A1,Oct-2023,Current,fractional,Cash,4705.91,3718.35,8373.15,1092.41,283.11
"Production assistant, television",5,NY,OWN,161949,Not Verified,26.41,,Verified,7.92,0,,1998,0,14,7,145758,33766,0,3,,0,3364,4,2,14,4,0,1,7,16407,20,3,9,4,63.6,0,0,credit_card,individual,41553,36,6.18,716.43,A,C2,Aug-2023,Current,whole,DirectPay,33468.13,31586.97,5116.0,1240.35,134.09
Mental health nurse,3,CA,RENT,28969,Not Verified,11.85,,Verified,,0,52.0,2016,5,8,18,30323,17428,1,4,,2,3748,5,9,3,12,1,0,7,36578,10,9,9,3,64.4,0,0,home_improvement,joint,37733,36,7.39,838.51,A,D2,Aug-2023,Current,fractional,DirectPay,36875.7,29953.14,19905.61,4360.48,433.05
Careers adviser,0,AZ,OWN,71418,Verified,29.78,,Not Verified,,0,,2012,7,46,7,257667,133233,1,1,,2,4042,7,1,10,11,0,2,8,37131,12,3,9,2,60.6,0,0,medical,individual,28206,60,13.89,1007.36,D,A1,Nov-2024,Current,whole,DirectPay,16761.18,17012.45,15401.21,3245.72,214.53
Television production assistant,8,OH,MORTGAGE,127171,Source Verified,14.33,203263.0,Verified,21.89,0,,1985,8,40,24,43783,35152,1,2,89.0,1,1694,0,13,1,15,1,0,5,43513,20,13,6,4,73.3,0,0,other,joint,6873,36,18.15,254.56,A,C2,Jan-2026,Current,whole,Cash,476.95,617.72,3304.05,468.68,458.63
"Scientist, research (life sciences)",6,NY,MORTGAGE,176883,Source Verified,33.59,84782.0,Source Verified,30.51,0,,2001,5,49,23,89267,8189,1,4,,2,3629,7,14,11,17,0,1,4,16541,15,12,1,4,86.5,0,0,moving,joint,31845,60,7.72,884.58,D,E1,Oct-2024,Current,fractional,Cash,3293.86,12802.56,18570.46,4966.68,59.11
Microbiologist,6,TX,OWN,156936,Source Verified,19.26,75216.0,Source Verified,9.83,2,,1995,5,43,15,113533,82845,1,2,,0,2575,2,3,13,3,0,2,8,6054,21,1,0,1,75.5,0,0,medical,joint,36036,60,18.53,1501.5,B,D1,Jun-2023,Late (16-30 days),fractional,DirectPay,24234.47,24583.46,9087.97,960.07,316.2
Economist,7,OH,MORTGAGE,153674,Source Verified,32.74,221817.0,Verified,8.78,0,,2007,8,47,13,224636,128251,0,3,,2,2799,6,2,11,15,0,2,7,37912,14,11,9,1,69.3,0,1,moving,joint,29332,60,15.99,1955.47,C,C2,Mar-2025,Late (16-30 days),whole,DirectPay,24054.22,1219.59,11688.92,4043.77,126.16
"Nurse, children's",8,TX,RENT,160909,Verified,40.92,,Verified,34.16,0,,1988,9,15,17,11466,4957,2,1,43.0,2,3419,5,8,22,13,0,1,8,20350,11,9,9,0,81.2,0,0,small_business,individual,48448,60,16.66,2691.56,B,E1,Aug-2025,Current,whole,DirectPay,3005.56,16438.66,19609.1,1568.97,329.05
Dance movement psychotherapist,8,TX,MORTGAGE,58040,Not Verified,42.64,210073.0,Source Verified,14.19,0,,2011,9,37,1,155486,146399,0,3,89.0,1,1539,0,3,10,4,0,2,6,2946,18,9,2,4,86.0,0,0,small_business,individual,15007,60,7.17,283.15,E,C1,Oct-2023,Current,fractional,Cash,3815.7,4434.09,6362.61,2036.13,296.39
Multimedia specialist,3,NC,OWN,73785,Verified,27.33,145761.0,Verified,,0,41.0,1985,6,30,23,288266,139426,1,4,,1,4677,3,7,23,19,0,1,4,46062,5,14,8,1,91.7,0,0,other,individual,2507,36,21.7,52.23,C,E1,Apr-2023,Fully Paid,fractional,Cash,1206.56,2029.86,1906.39,11.06,491.26
"Designer, blown glass/stained glass",3,NJ,OWN,74556,Verified,27.68,112320.0,Not Verified,32.99,0,37.0,1986,5,48,6,165918,112361,1,0,,2,3256,4,6,15,14,0,2,7,24195,23,1,8,1,77.6,0,0,debt_consolidation,joint,44742,36,9.31,813.49,B,C1,Aug-2024,Current,fractional,DirectPay,8270.04,2666.05,21632.2,6833.82,261.7
Brewing technologist,3,PA,RENT,141041,Verified,30.01,,Verified,5.9,0,13.0,2007,5,20,13,61322,27478,2,0,,1,1016,6,14,6,6,1,0,3,7506,22,8,0,4,93.6,0,0,small_business,individual,14070,36,12.1,670.0,A,A2,Oct-2025,Current,whole,DirectPay,6348.29,4648.61,6632.2,1278.34,225.78
Cytogeneticist,8,OH,MORTGAGE,137651,Not Verified,9.93,212023.0,Verified,,0,,1988,1,38,16,40063,4917,2,1,,1,3503,6,13,12,13,0,0,7,4936,20,6,1,1,73.2,0,0,moving,joint,34088,60,7.41,631.26,E,E2,Jul-2025,Current,whole,Cash,23096.18,18643.71,12955.89,6288.79,36.37
Multimedia programmer,10,NY,RENT,120345,Source Verified,38.75,184034.0,Verified,,0,,2010,6,39,2,180521,171733,2,2,,1,3916,5,6,21,16,1,2,6,31709,13,14,7,3,89.2,0,0,credit_card,joint,36552,60,17.3,652.71,D,D2,Apr-2023,Current,fractional,DirectPay,26689.3,20900.04,12692.38,932.59,204.54
"Conservation officer, historic buildings",10,NJ,RENT,55341,Source Verified,34.24,,Verified,,0,24.0,2005,1,30,8,190074,133447,0,4,,0,3731,4,5,20,17,1,0,2,35949,2,9,9,1,78.9,0,0,moving,joint,6758,36,10.75,198.76,C,E2,Mar-2024,Current,fractional,DirectPay,2808.04,6136.37,1311.48,123.41,159.34
Commissioning editor,5,CA,RENT,27881,Not Verified,27.95,,Source Verified,,0,,2017,0,38,16,212258,46201,2,1,,1,344,4,12,5,6,1,0,4,44224,16,11,6,1,92.4,0,0,debt_consolidation,individual,31863,36,7.44,910.37,C,B2,Jun-2023,Current,whole,DirectPay,24619.62,22778.84,14758.37,93.1,180.19
Media buyer,2,NJ,MORTGAGE,55734,Verified,31.76,,Verified,,0,29.0,2014,1,15,3,68755,28856,0,4,,1,1187,7,12,11,5,1,0,3,10334,20,7,1,3,68.3,0,0,other,joint,2515,36,17.34,157.19,B,D1,Aug-2025,Current,whole,DirectPay,527.37,2456.05,1298.95,470.08,151.69
Medical sales representative,4,TX,MORTGAGE,156250,Source Verified,11.08,,Verified,5.24,0,,2000,9,28,9,297507,3795,2,0,,2,2917,3,6,18,17,0,2,1,33926,22,8,2,1,68.3,0,0,small_business,individual,22470,60,7.88,401.25,A,C2,Jul-2023,Current,fractional,DirectPay,7121.7,18174.33,15737.78,1359.28,429.35
Company secretary,5,OH,MORTGAGE,35785,Verified,32.61,,Not Verified,31.31,0,28.0,2004,1,36,22,257941,195844,2,0,,0,3968,4,14,7,4,0,2,9,21581,3,6,7,2,77.8,0,0,debt_consolidation,joint,8691,36,7.79,310.39,E,D2,May-2025,Current,fractional,Cash,8338.77,1892.14,612.9,338.14,410.28
Radiation protection practitioner,6,OH,RENT,63185,Verified,21.07,88737.0,Not Verified,15.72,0,,1999,2,19,6,32504,23202,2,1,,2,3662,2,13,14,13,0,1,1,18766,24,8,3,0,95.2,0,1,small_business,individual,24388,60,17.08,530.17,C,C2,Dec-2025,Current,whole,DirectPay,5402.36,1369.68,4987.62,2573.24,85.8
Copy,0,NY,RENT,59758,Source Verified,9.88,,Source Verified,,0,,1986,3,8,21,293173,84981,2,1,,1,2640,6,8,4,5,1,2,2,16645,9,5,7,0,92.8,0,0,credit_card,individual,7596,60,5.63,271.29,C,B1,Mar-2025,Current,whole,Cash,3180.41,1668.35,1.38,1390.07,421.94
Medical technical officer,6,NY,MORTGAGE,126025,Verified,7.7,121537.0,Verified,,0,,1997,0,22,22,139553,27950,0,0,,0,170,6,12,9,17,0,1,1,25488,23,6,2,1,99.8,0,0,home_improvement,individual,47212,36,7.29,3934.33,D,D2,Apr-2025,Current,fractional,DirectPay,25256.85,1779.78,30520.4,3028.41,281.21
"Engineer, manufacturing systems",0,PA,RENT,138221,Not Verified,40.46,,Verified,,0,56.0,2014,2,33,22,41601,3410,2,3,,1,3484,2,8,9,2,0,2,5,3820,16,2,6,1,60.0,0,0,other,joint,39333,60,19.87,1063.05,C,E2,Dec-2024,Late (16-30 days),whole,DirectPay,11723.84,12602.34,5169.52,6160.82,61.25
Midwife,3,AZ,RENT,106463,Not Verified,7.82,230809.0,Not Verified,,0,,2007,4,11,12,34354,28761,0,3,,2,1004,3,13,13,16,0,2,1,20300,2,10,1,4,68.5,0,0,other,individual,36678,36,7.35,1146.19,C,C1,Oct-2023,Current,whole,Cash,16402.44,30436.18,19211.21,3016.43,331.68
Data processing manager,5,NC,OWN,60897,Source Verified,21.54,156102.0,Not Verified,32.13,2,27.0,1999,6,7,23,80934,56830,0,1,,0,2728,6,6,2,18,0,2,7,7529,9,1,3,1,93.2,0,0,other,individual,32930,60,12.17,1266.54,E,B2,Feb-2024,Current,fractional,DirectPay,4890.33,19641.66,21454.13,2516.67,66.13
Early years teacher,0,AZ,RENT,166385,Verified,27.58,122394.0,Not Verified,30.39,0,,2008,1,44,14,160056,89095,0,0,,0,4920,1,8,23,9,1,0,1,14861,17,5,1,1,61.0,0,0,credit_card,joint,48270,36,17.5,846.84,E,B1,Jun-2023,Current,whole,Cash,35795.4,26388.11,34155.03,5348.25,267.28
Advertising account executive,9,IL,MORTGAGE,125625,Source Verified,41.66,63016.0,Source Verified,16.97,0,,2002,8,36,21,61272,36853,2,1,,0,2857,2,0,11,1,1,0,4,34924,24,3,0,1,94.9,0,0,home_improvement,joint,15865,60,8.16,547.07,C,D1,Mar-2025,Current,fractional,DirectPay,5763.05,12595.78,11943.07,1977.45,370.81
Clinical molecular geneticist,3,NC,RENT,58980,Source Verified,5.8,,Source Verified,,0,,2010,6,15,2,39813,19895,1,3,,1,1163,1,11,0,13,1,1,8,2143,2,12,9,4,71.7,0,0,moving,individual,16141,60,13.47,403.52,A,E1,Aug-2023,Current,fractional,DirectPay,3324.72,15.23,507.02,3154.87,121.18
"Therapist, nutritional",4,NJ,OWN,31447,Source Verified,39.28,135042.0,Source Verified,21.57,0,13.0,2003,5,10,20,146066,139561,2,4,,2,815,6,10,4,11,0,2,4,28111,5,7,4,4,93.7,0,0,home_improvement,joint,7499,36,19.03,299.96,E,B1,Mar-2025,Current,fractional,DirectPay,893.18,1053.96,1718.61,777.01,374.01
Dance movement psychotherapist,9,OH,RENT,131311,Source Verified,22.42,,Source Verified,,0,17.0,2003,0,6,12,296198,30709,0,1,,1,773,7,12,18,11,0,0,6,45785,12,9,1,1,84.0,0,0,credit_card,joint,36409,60,17.67,661.98,C,B1,Sep-2024,Current,whole,DirectPay,12176.72,18907.66,5754.25,5863.12,92.89
Orthoptist,9,AZ,MORTGAGE,48004,Verified,31.33,,Not Verified,26.82,1,26.0,2008,0,14,24,99044,10045,0,4,,0,2086,7,0,17,12,1,1,2,22116,10,14,8,3,73.5,0,0,vacation,individual,43833,36,13.29,1069.1,C,D2,Jul-2023,Fully Paid,whole,Cash,16568.61,43008.13,16349.82,6942.58,201.15
Magazine features editor,6,NY,RENT,139919,Verified,6.81,,Not Verified,35.4,0,,2017,5,17,8,154615,79353,0,3,,1,2962,1,4,18,16,0,1,1,33406,21,9,7,1,95.4,0,0,credit_card,individual,43302,60,7.24,902.12,E,B1,Dec-2025,Current,fractional,Cash,39526.1,26429.94,18928.42,2162.88,171.64
Armed forces training and education officer,4,NY,RENT,85282,Source Verified,8.98,,Source Verified,,1,26.0,1999,6,46,24,168666,116819,2,3,,2,254,6,3,20,6,0,2,2,6763,12,10,4,4,83.3,0,0,home_improvement,joint,49801,36,14.78,2075.04,D,C2,Feb-2025,Current,whole,DirectPay,22424.24,12576.27,17642.68,8438.97,103.0
"Engineer, building services",9,NC,MORTGAGE,60450,Source Verified,22.02,,Not Verified,37.84,0,54.0,2017,3,11,24,66116,14161,0,4,69.0,2,3657,2,8,14,6,0,0,5,34152,19,6,2,1,67.5,0,0,medical,individual,35757,60,19.61,606.05,D,B2,Jan-2025,Current,fractional,DirectPay,10887.66,35147.23,18387.03,5132.39,488.31
Horticultural therapist,6,IL,MORTGAGE,44403,Not Verified,22.38,249519.0,Source Verified,,0,,2011,1,28,3,125260,43292,1,1,,1,4656,5,5,22,4,0,2,3,39521,9,4,6,1,72.0,0,0,small_business,individual,5681,36,20.23,126.24,E,B1,Sep-2024,Current,fractional,Cash,5305.93,744.54,3624.0,577.13,375.17
Education administrator,9,IL,MORTGAGE,116186,Source Verified,41.4,,Verified,,0,,2012,5,20,5,176991,97952,0,0,,1,2084,4,2,12,18,1,1,4,7580,4,4,3,3,61.2,0,0,credit_card,joint,40698,36,14.54,1507.33,B,C1,May-2025,Current,fractional,Cash,39609.77,8196.83,310.72,612.92,187.93
Senior tax professional/tax inspector,8,OH,RENT,64236,Verified,24.41,,Not Verified,19.5,2,39.0,2003,0,40,18,125140,45921,0,4,,1,445,4,10,16,4,1,1,6,15833,6,9,0,1,60.9,0,0,moving,individual,6150,60,23.77,161.84,A,D1,Nov-2023,Current,fractional,Cash,2997.55,5814.04,281.6,1145.13,25.25
Local government officer,7,OH,RENT,35725,Not Verified,15.51,74502.0,Verified,,0,,1997,2,27,9,169762,2407,0,4,,1,2322,2,7,6,10,1,2,1,10032,20,9,0,2,64.6,0,0,debt_consolidation,joint,35461,36,21.92,633.23,C,B1,Apr-2024,Current,whole,Cash,9135.89,15955.45,19656.99,5199.72,497.71
"Psychologist, counselling",0,NJ,MORTGAGE,177948,Source Verified,26.33,218733.0,Verified,,0,,2001,3,5,15,34099,13716,0,3,,0,418,5,10,18,13,1,0,9,40885,21,1,0,1,99.6,0,0,other,joint,10949,36,15.23,684.31,A,A1,Feb-2025,Current,fractional,Cash,2856.04,99.49,5678.57,1119.19,222.76
Tour manager,3,NY,OWN,90439,Source Verified,31.17,86307.0,Source Verified,20.52,0,59.0,1986,8,47,14,39777,27183,1,3,72.0,0,2725,6,3,14,1,0,0,2,29445,12,10,4,3,98.3,0,0,small_business,individual,9194,60,18.43,510.78,B,C1,Jul-2023,Current,whole,Cash,1767.62,2845.26,7170.62,755.96,222.36
Armed forces technical officer,2,FL,MORTGAGE,54661,Source Verified,14.66,138578.0,Source Verified,,0,,1987,9,16,16,43085,32528,0,4,,1,3075,1,6,23,17,1,1,7,8130,19,5,9,0,92.6,0,0,other,individual,15419,36,23.68,308.38,D,E2,Jun-2023,Current,whole,Cash,3352.91,5653.82,4822.04,3011.2,477.33
"Engineer, drilling",3,NY,MORTGAGE,144042,Not Verified,33.66,,Verified,,0,,1987,5,39,12,90674,43462,0,3,,2,3622,4,8,20,13,1,0,9,5127,24,10,0,0,60.4,0,0,moving,individual,25544,60,10.76,500.86,B,A2,Nov-2025,Current,fractional,Cash,19203.93,14515.85,5612.85,2423.79,166.89
Chief Technology Officer,10,AZ,OWN,148402,Source Verified,27.77,,Source Verified,15.64,0,32.0,1990,8,42,2,46713,44169,1,3,,0,3406,3,0,7,5,0,0,8,9746,22,2,4,1,82.2,0,0,debt_consolidation,joint,12109,60,21.89,288.31,A,D1,Nov-2024,Late (16-30 days),fractional,DirectPay,7737.2,986.24,4214.07,708.75,272.71
Firefighter,10,CA,MORTGAGE,40994,Verified,13.81,107241.0,Not Verified,,0,,1989,4,27,2,298783,280349,0,1,,2,1928,7,12,21,19,0,1,2,34930,3,8,3,2,85.7,0,0,medical,individual,37503,60,23.98,961.62,B,A1,Sep-2023,Current,fractional,DirectPay,924.24,26127.93,21761.53,6273.34,487.22
Banker,9,NY,OWN,93653,Not Verified,37.87,113745.0,Source Verified,,0,,2015,5,14,18,233354,15016,1,4,,0,3566,5,0,2,10,0,1,3,27022,21,13,9,3,62.6,0,1,other,individual,38929,36,6.24,846.28,A,D2,Jun-2023,Current,whole,DirectPay,2222.63,13354.66,20770.52,798.27,5.96
Interpreter,1,FL,RENT,50523,Verified,22.96,99756.0,Verified,25.39,1,,2010,6,14,22,288676,44162,0,4,,1,838,6,8,7,16,1,1,6,5749,14,5,0,0,88.8,0,0,moving,joint,32766,60,21.93,574.84,E,D2,Nov-2023,Current,fractional,Cash,11455.47,19539.89,7187.89,174.37,367.61
